Grab table?,Which Stations?,1st Destination,2nd Destination,3rd Destination,4th Destination,5th Destination,6th Destination,7th Destination,8th Destination,9th Destination,10th Destination,11th Destination,12th Destination,13th Destination,Leave line?,"If Yes, which station(s)?",More food?,"If Yes, which stations?"
Yes,"Grill,Pizza,Special",Grill,Special,Pizza,,,,,,,,,,,Yes,Family Meal,Yes,
No,"Pizza,Water/Juices",Water/Juices,Pizza,,,,,,,,,,,,No,,Yes,
Yes,"Family Meal,Global Market,Grill,Pizza,Salad Bar,Water/Juices,Drinks,",Pizza,Grill,Global Market,Family Meal,Salad Bar,Water/Juices,Drinks,,,,,,,Yes,"Global Market,Grill",Yes,"Global Market,Pizza,Drinks,"
Yes,"Family Meal,Global Market,Grill,Gluten Free,Deli,Fruit",Grill,Global Market,Family Meal,Gluten Free,Deli,Fruit,,,,,,,,Yes,Family Meal,No,
No,"Family Meal,Global Market,Grill,Drinks",Family Meal,Grill,Global Market,Drinks,,,,,,,,,,No,,No,
Yes,"Family Meal,Grill,Gluten Free,Soups,Salad Bar,Water/Juices,Drinks,Deli,Bread,",Bread,Salad Bar,Family Meal,Grill,Gluten Free,Soups,Drinks,Deli,Water/Juices,,,,,No,,No,
Yes,"Global Market,Soups,Salad Bar",Global Market,Soups,Salad Bar,,,,,,,,,,,No,,No,
Yes,"Grill,Pizza,Salad Bar",Grill,Salad Bar,Pizza,,,,,,,,,,,Yes,Family Meal,Yes,
Yes,"Gluten Free,Vegan,Soups,Salad Bar,Water/Juices,Deli,Bread,",Soups,Gluten Free,Bread,Vegan,Water/Juices,Deli,,Salad Bar,,,,,,No,,Yes,"Pizza,Salad Bar,Water/Juices"
No,Grill,Grill,,,,,,,,,,,,,No,,No,
Yes,"Family Meal,Grill,Drinks",Family Meal,Grill,,,,,,,,,,,,Yes,Global Market,Yes,
No,"Pizza,Special,Salad Bar,Drinks",Pizza,Special,Salad Bar,Drinks,,,,,,,,,,No,,Yes,
No,"Global Market,Grill,Drinks",Global Market,Grill,Drinks,,,,,,,,,,,Yes,Global Market,No,
Yes,"Family Meal,Special,Salad Bar,Water/Juices,Drinks,",Water/Juices,Family Meal,Special,Salad Bar,Drinks,,,,,,,,,No,,Yes,
Yes,"Global Market,Special,Gluten Free,Soups,Drinks",Gluten Free,Global Market,Special,Soups,Drinks,,,,,,,,,No,,Yes,"Drinks,"
Yes,"Grill,Pizza,Salad Bar",Pizza,Salad Bar,Grill,,,,,,,,,,,Yes,Grill,Yes,Pizza
Yes,"Family Meal,Soups,Water/Juices",Family Meal,Soups,Water/Juices,,,,,,,,,,,No,,No,
Yes,"Vegan,Soups,Salad Bar",Salad Bar,Vegan,Soups,,,,,,,,,,,No,,No,
No,"Grill,Pizza,Salad Bar,Drinks,Fruit",Pizza,Fruit,Grill,Salad Bar,Drinks,,,,,,,,,No,,Yes,
No,"Grill,Drinks,Deli",Grill,Drinks,Deli,,,,,,,,,,,Yes,Grill,Yes,
No,"Pizza,Special,Gluten Free,Salad Bar,Drinks",Gluten Free,Special,Salad Bar,Pizza,Drinks,,,,,,,,,Yes,"Family Meal,Global Market",Yes,"Family Meal,Global Market,Special,Gluten Free"
Yes,Family Meal,Family Meal,,,,,,,,,,,,,No,,Yes,"Drinks,Fruit"
Yes,"Global Market,Salad Bar,Water/Juices,",Global Market,Salad Bar,Water/Juices,,,,,,,,,,,No,,Yes,"Family Meal,Global Market,Pizza,Water/Juices"
No,"Grill,Drinks,Deli",Grill,Drinks,Deli,,,,,,,,,,,Yes,Grill,Yes,
Yes,"Global Market,Grill,Water/Juices",Global Market,Grill,Water/Juices,,,,,,,,,,,No,,Yes,
Yes,"Grill,Vegan,Soups",Soups,Grill,Vegan,,,,,,,,,,,Yes,Family Meal,Yes,Soups
Yes,"Global Market,Soups,Salad Bar,Fruit",Global Market,Soups,Salad Bar,Fruit,,,,,,,,,,Yes,Grill,No,
No,"Family Meal,Global Market,Water/Juices,Drinks",Family Meal,Global Market,Water/Juices,Drinks,,,,,,,,,,No,,Yes,"Soups,Salad Bar"
No,"Grill,Vegan,Salad Bar",Vegan,Grill,Salad Bar,,,,,,,,,,,No,,No,
Yes,"Family Meal,Water/Juices",Family Meal,Water/Juices,,,,,,,,,,,,No,,Yes,
Yes,"Family Meal,Special,Gluten Free,Soups,Salad Bar,Water/Juices,Fruit,",Family Meal,Gluten Free,Special,Soups,Salad Bar,Water/Juices,Fruit,,,,,,,No,,Yes,Special
Yes,"Grill,Drinks,Fruit",Grill,Fruit,Drinks,,,,,,,,,,,No,,No,
No,"Global Market,Grill,Soups,Deli,",Soups,Global Market,,Deli,Grill,,,,,,,,,Yes,"Family Meal,Global Market,Grill",Yes,"Family Meal,Drinks,Fruit"
Yes,"Global Market,Pizza,Special,Drinks,",Global Market,Special,Drinks,Pizza,,,,,,,,,,No,,Yes,"Drinks,Fruit"
No,"Family Meal,Global Market,Pizza,Salad Bar,Water/Juices",Pizza,Salad Bar,Family Meal,Global Market,Water/Juices,,,,,,,,,No,,No,
No,"Gluten Free,Water/Juices",Gluten Free,Water/Juices,,,,,,,,,,,,No,,Yes,
Yes,"Grill,Salad Bar",Grill,Salad Bar,,,,,,,,,,,,No,,Yes,
No,"Special,Vegan,Soups,Salad Bar",Special,Vegan,Salad Bar,Soups,,,,,,,,,,No,,Yes,"Pizza,Water/Juices"
Yes,Family Meal,Family Meal,,,,,,,,,,,,,No,,Yes,"Grill,"
No,"Global Market,Drinks,Fruit",Global Market,Drinks,Fruit,,,,,,,,,,,No,,No,
No,"Family Meal,Global Market,Water/Juices,Drinks",Family Meal,Global Market,Water/Juices,Drinks,,,,,,,,,,No,,Yes,"Water/Juices,Drinks"
